snp_batchaaaaaaaaaa	1.4502e-01	1.3835e-02	-8.7609e-02	
snp_batchaaaaaaaaab	8.5752e-02	6.5263e-02	6.4963e-02	
snp_batchaaaaaaaaac	9.8558e-02	1.5098e-01	1.2142e-01	
snp_batchaaaaaaaaad	2.5826e+00	-2.7669e-01	-5.0294e-01	
snp_batchaaaaaaaaae	1.3879e-01	-4.5414e-02	-9.1322e-02	
snp_batchaaaaaaaaaf	1.1877e-01	1.9398e-01	1.7227e-01	
snp_batchaaaaaaaaag	2.7054e-01	-1.0526e-01	-3.3970e-01	
snp_batchaaaaaaaaah	3.0338e-01	-3.4436e-01	-4.1107e-01	
snp_batchaaaaaaaaai	1.2440e-01	1.6030e-01	1.0433e-01	
snp_batchaaaaaaaaaj	1.3759e-01	9.9248e-03	-1.2362e-01	
snp_batchaaaaaaaaak	2.0035e-01	3.2241e-01	3.1315e-01	
snp_batchaaaaaaaaal	1.1754e-01	1.5338e-02	-1.3671e-01	
snp_batchaaaaaaaaam	1.5584e-01	-4.9925e-02	-2.0756e-01	
snp_batchaaaaaaaaan	9.0751e-02	-1.1128e-02	-1.7498e-02	
snp_batchaaaaaaaaao	1.8117e-01	-2.9774e-01	-3.1560e-01	
snp_batchaaaaaaaaap	2.0889e+01	4.8511e-01	6.2140e-01	
snp_batchaaaaaaaaaq	3.6204e-01	-3.2030e-01	-3.4466e-01	
snp_batchaaaaaaaaar	1.1112e+01	4.4992e-01	5.7400e-01	
snp_batchaaaaaaaaas	1.8039e-01	1.4857e-01	1.6786e-01	
snp_batchaaaaaaaaat	9.2799e-02	-5.1429e-02	-7.7998e-02	
snp_batchaaaaaaaaau	9.5017e-01	1.8256e-01	2.5366e-01	
snp_batchaaaaaaaaav	1.0410e-01	1.7444e-02	2.4138e-02	
snp_batchaaaaaaaaaw	2.0591e-01	2.5023e-01	2.0743e-01	
snp_batchaaaaaaaaax	1.0534e-01	-1.4737e-02	-1.1146e-01	
snp_batchaaaaaaaaay	1.3291e-01	2.0421e-01	2.1195e-01	
snp_batchaaaaaaaaaz	1.0944e-01	1.0195e-01	1.3652e-01	
snp_batchaaaaaaaaba	1.6533e-01	-5.6241e-02	-1.9184e-01	
snp_batchaaaaaaaabb	8.2747e-02	-6.1654e-02	-8.9675e-02	
snp_batchaaaaaaaabc	1.3576e-01	1.8045e-01	2.3532e-01	
snp_batchaaaaaaaabd	1.6751e-01	-2.0632e-01	-3.2464e-01	
snp_batchaaaaaaaabe	1.2659e-01	-1.1068e-01	-1.4381e-01	
snp_batchaaaaaaaabf	2.4797e-01	-2.7910e-01	-3.4756e-01	
snp_batchaaaaaaaabg	1.3600e-01	-9.9850e-02	-1.9312e-01	
snp_batchaaaaaaaabh	2.8516e-01	-1.8947e-01	-3.4764e-01	
snp_batchaaaaaaaabi	1.8828e-01	1.1940e-01	1.6664e-01	
snp_batchaaaaaaaabj	1.0192e-01	-7.3684e-02	-1.9978e-01	
snp_batchaaaaaaaabk	2.0433e-01	-1.2541e-01	-2.7545e-01	
snp_batchaaaaaaaabl	1.4436e-01	-1.0977e-01	-1.0495e-01	
snp_batchaaaaaaaabm	1.0542e-01	4.4511e-02	2.3746e-03	
snp_batchaaaaaaaabn	8.0963e-01	-4.7398e-01	-5.2470e-01	
snp_batchaaaaaaaabo	1.2124e-01	-1.0135e-01	-1.3501e-01	
