"","chr","pos","Eigenvector 1","Eigenvector 2","Eigenvector 3","Eigenvector 4","chr_F"
"1","chr1",24227,0.310603787924242,0.239815203695926,0.431341373172537,0.284584308313834,"chr1"
"2","chr1",592915,0.671706565868683,0.659776804463911,0.231085378292434,0.757994840103198,"chr1"
"3","chr1",1303603,0.927601447971041,0.832993340133197,0.668316633667327,0.624817503649927,"chr1"
"4","chr1",1903017,0.0790084198316034,0.0257494850102998,0.0858382832343353,0.00292994140117198,"chr1"
"5","chr1",2548509,0.5427491450171,0.419741605167897,0.0456990860182796,0.757994840103198,"chr1"
"6","chr1",2711231,0.866762664746705,0.77327453450931,0.801563968720626,0.105317893642127,"chr1"
"7","chr1",3283333,0.296784064318714,0.362082758344833,0.134337313253735,0.0198296034079318,"chr1"
"8","chr1",4181728,0.367322653546929,0.465510689786204,0.667226655466891,0.105317893642127,"chr1"
"9","chr1",4845193,0.954970900581988,0.969370612587748,0.741095178096438,0.0198296034079318,"chr1"
"10","chr1",5367535,0.579408411831763,0.467310653786924,0.540379192416152,0.284584308313834,"chr1"
"11","chr1",6302633,0.609597808043839,0.609847803043939,0.548289034219316,0.105317893642127,"chr1"
"12","chr1",6999611,0.885952280954381,0.921821563568729,0.375062498750025,0.504419911601768,"chr1"
"13","chr1",8026669,0.987110257794844,0.751564968700626,0.901351972960541,0.995660086798264,"chr1"
"14","chr1",8617410,0.0815783684326314,0.0402591948161037,0.0700385992280154,0.105317893642127,"chr1"
"15","chr1",9178829,0.988330233395332,0.98260034799304,0.855152896942061,0.624817503649927,"chr1"
"16","chr1",9863982,0.621137577248455,0.412141757164857,0.584858302833943,0.0198296034079318,"chr1"
"17","chr1",10537036,0.77517449651007,0.747285054298914,0.577818443631127,0.284584308313834,"chr1"
"18","chr1",11139828,0.913371732565349,0.905191896162077,0.667776644467111,0.624817503649927,"chr1"
"19","chr1",11894080,0.590698186036279,0.588908221835563,0.469170616587668,0.105317893642127,"chr1"
"20","chr1",12998234,0.451370972580548,0.715515689686206,0.618067638647227,0.911001779964401,"chr1"
"21","chr1",13501178,0.00593988120237595,0.00912981740365192,0.0145497090058199,0.105317893642127,"chr1"
"22","chr1",14186629,0.921941561168777,0.957180856382872,0.98870022599548,0.504419911601768,"chr1"
"23","chr1",14820129,0.481260374792504,0.468070638587228,0.311853762924741,0.105317893642127,"chr1"
"24","chr1",16193166,0.49720005599888,0.406141877162457,0.303063938721226,0.948571028579428,"chr1"
"25","chr1",17853682,0.342073158536829,0.0425591488170237,0.0269494610107798,0.105317893642127,"chr1"
"26","chr1",18934571,0.925771484570309,0.95960080798384,0.939261214775704,0.757994840103198,"chr1"
"27","chr1",19953457,0.861172776544469,0.0890782184356313,0.209565808683826,0.284584308313834,"chr1"
"28","chr1",21044354,0.000479990400191996,0.00122997540049199,0.00141997160056799,0.0198296034079318,"chr1"
"29","chr1",22093693,0.928441431171377,0.751964960700786,0.246555068898622,0.624817503649927,"chr1"
"30","chr1",23163937,0.557878842423152,0.342213155736885,0.388352232955341,0.504419911601768,"chr1"
"31","chr1",24475784,0.503569928601428,0.445041099178016,0.569458610827783,0.504419911601768,"chr1"
"32","chr1",25300488,0.423481530369393,0.107177856442871,0.0650086998260035,0.948571028579428,"chr1"
"33","chr1",25811318,0.871792564148717,0.914411711765765,0.944281114377712,0.284584308313834,"chr1"
"34","chr1",26247345,0.98965020699586,0.989260214795704,0.960010799784004,0.284584308313834,"chr1"
"35","chr1",26829456,0.46090078198436,0.268284634307314,0.274794504109918,0.757994840103198,"chr1"
"36","chr1",27290064,0.650716985660287,0.179056418871623,0.178896422071559,0.624817503649927,"chr1"
"37","chr1",27732252,0.997770044599108,0.997430051398972,0.986910261794764,0.998180036399272,"chr1"
"38","chr1",28289974,0.997930041399172,0.99380012399752,0.996080078398432,0.837253254934901,"chr1"
"39","chr1",28966415,0.0102397952040959,0.00647987040259195,0.0347793044139117,0.504419911601768,"chr1"
"40","chr1",29992657,0.977820443591128,0.987210255794884,0.97755044899102,0.948571028579428,"chr1"
"41","chr1",30941920,0.815763684726305,0.586328273434531,0.450080998380032,0.284584308313834,"chr1"
"42","chr1",31512749,0.999620007599848,0.997810043799124,0.900111997760045,0.105317893642127,"chr1"
"43","chr2",3313,0.655156896862063,0.445971080578388,0.565978680426391,0.284584308313834,"chr2"
"44","chr2",853458,0.273104537909242,0.238205235895282,0.232985340293194,0.504419911601768,"chr2"
"45","chr2",2962050,0.00126997460050799,0.00321993560128797,0.0226895462090758,0.00292994140117198,"chr2"
"46","chr2",3832731,0.427691446171077,0.388932221355573,0.238345233095338,0.504419911601768,"chr2"
"47","chr2",4622998,0.762164756704866,0.413181736365273,0.111787764244715,0.624817503649927,"chr2"
"48","chr2",5746688,0.113557728845423,0.0431691366172677,0.0394192116157677,0.988680226395472,"chr2"
